"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.402917301E-4,-7.403604126E-1,1.674268341E0,9.760003967E0,9.930205711E0
1.081929170E-2,-5.984555054E-1,1.744622040E0,9.688303070E0,9.862305584E0
2.079829166E-2,-5.412744141E-1,1.796264648E0,9.657467194E0,9.837998642E0
3.077829175E-2,-5.158273315E-1,1.801204376E0,9.575288086E0,9.756872294E0
4.075729172E-2,-5.364843750E-1,1.816921692E0,9.454339600E0,9.642279667E0
5.073629168E-2,-5.999523926E-1,1.838626556E0,9.306746521E0,9.505578430E0
6.071529165E-2,-8.508306885E-1,1.802401886E0,9.020691376E0,9.238259485E0
7.069429173E-2,-9.321116638E-1,1.860481110E0,8.729397125E0,8.973995558E0
8.067329170E-2,-7.812254333E-1,1.955533447E0,9.061257019E0,9.302730943E0
9.065229166E-2,-7.583230591E-1,1.821262665E0,9.288185120E0,9.495390164E0
1.006312917E-1,-7.240443420E-1,1.676214294E0,9.432185669E0,9.607292078E0
1.106102917E-1,-6.146218872E-1,1.638193359E0,9.532626801E0,9.691873465E0
1.205892917E-1,-5.209167480E-1,1.618584137E0,9.523495789E0,9.674096387E0
1.305692917E-1,-4.842430115E-1,1.558409271E0,9.461524658E0,9.601228026E0
1.405482917E-1,-4.674778748E-1,1.494043121E0,9.423054657E0,9.552207048E0
1.505272917E-1,-4.321513367E-1,1.478924561E0,9.392817535E0,9.518350376E0
1.605062917E-1,-4.189787292E-1,1.489851837E0,9.440119171E0,9.566140896E0
1.704852917E-1,-4.334985352E-1,1.506317596E0,9.509724426E0,9.638037785E0
1.804642917E-1,-4.608915710E-1,1.543290710E0,9.630523224E0,9.764279022E0
1.904432917E-1,-4.724176025E-1,1.587149506E0,9.744286652E0,9.883994349E0
2.004222918E-1,-4.387376404E-1,1.615290985E0,9.817334747E0,9.959001819E0
2.104012917E-1,-4.426295471E-1,1.639989624E0,9.768236847E0,9.914834239E0
2.203802917E-1,-4.872367859E-1,1.632654877E0,9.770781555E0,9.918222312E0
2.303602917E-1,-5.075944519E-1,1.630409546E0,9.774224396E0,9.922265364E0
2.403392917E-1,-5.119354248E-1,1.672621765E0,9.759255524E0,9.914777346E0
2.503182917E-1,-5.233117676E-1,1.685794373E0,9.764045563E0,9.922315437E0
2.602972917E-1,-5.752537537E-1,1.653611298E0,9.776020660E0,9.931562171E0
2.702762918E-1,-6.417155457E-1,1.616638184E0,9.786798248E0,9.940157836E0
2.802552917E-1,-6.655160522E-1,1.602118378E0,9.778265991E0,9.930970784E0
2.902342917E-1,-6.526428223E-1,1.599124603E0,9.745184784E0,9.897058584E0
3.002132917E-1,-6.035449219E-1,1.592238922E0,9.732012177E0,9.879855883E0
3.101922917E-1,-5.468128967E-1,1.609602814E0,9.698781281E0,9.846633125E0
3.201712917E-1,-5.201683044E-1,1.599723358E0,9.672735443E0,9.817917337E0
3.301512917E-1,-5.339396667E-1,1.576521606E0,9.665700073E0,9.807969711E0
3.401302918E-1,-5.478607178E-1,1.549877014E0,9.675729218E0,9.814377515E0
3.501092917E-1,-5.170248413E-1,1.542691956E0,9.701775055E0,9.837258377E0
3.600882917E-1,-4.962181091E-1,1.573527832E0,9.776170349E0,9.914420253E0
3.700672917E-1,-4.665797424E-1,1.625918884E0,9.780211945E0,9.925414579E0
3.800462917E-1,-4.706213379E-1,1.660496979E0,9.773176575E0,9.924399983E0
3.900252917E-1,-4.748126221E-1,1.662442932E0,9.717043304E0,9.869655217E0
4.000042917E-1,-4.733157349E-1,1.663191376E0,9.668544159E0,9.821964136E0
4.099832918E-1,-4.653822327E-1,1.679357758E0,9.585317230E0,9.742439607E0
4.199622917E-1,-4.538562012E-1,1.715732117E0,9.547146606E0,9.710701853E0
4.299422917E-1,-4.613406372E-1,1.732796631E0,9.565857697E0,9.732474137E0
4.399212917E-1,-4.477189636E-1,1.730401611E0,9.530231781E0,9.696394165E0
4.499002917E-1,-4.119433594E-1,1.726060638E0,9.525591431E0,9.689472368E0
4.598792917E-1,-3.751199341E-1,1.720971222E0,9.495503998E0,9.657486893E0
4.698582917E-1,-3.680845642E-1,1.731898499E0,9.482032013E0,9.645926070E0
4.798372918E-1,-3.824546814E-1,1.730251923E0,9.469757538E0,9.634124305E0
4.898162917E-1,-3.839515686E-1,1.720372467E0,9.446855164E0,9.609899724E0
4.997952917E-1,-4.105961609E-1,1.717528381E0,9.466165009E0,9.629474177E0
5.097742917E-1,-4.373904419E-1,1.711989899E0,9.451495514E0,9.615247644E0
5.197532917E-1,-4.257147217E-1,1.728455658E0,9.458680573E0,9.624730134E0
5.297332917E-1,-4.498146057E-1,1.737287292E0,9.461374969E0,9.630063168E0
5.397122917E-1,-4.933740234E-1,1.729353790E0,9.436975708E0,9.606799309E0
5.496912918E-1,-5.014572144E-1,1.726809082E0,9.446256409E0,9.615876927E0
5.596702917E-1,-4.572990417E-1,1.742376709E0,9.474098511E0,9.643834383E0
5.696492917E-1,-4.257147217E-1,1.743574219E0,9.498497772E0,9.666578713E0
5.796282917E-1,-3.677851868E-1,1.736389160E0,9.487720184E0,9.652313068E0
5.896072917E-1,-3.363505554E-1,1.729802856E0,9.492061157E0,9.654251635E0
5.995862917E-1,-3.510200500E-1,1.706900482E0,9.524244232E0,9.682352634E0
6.095652917E-1,-3.543132019E-1,1.639390869E0,9.564809875E0,9.710753226E0
6.195442918E-1,-3.499722290E-1,1.641935577E0,9.610464935E0,9.755996580E0
6.295242917E-1,-3.707789612E-1,1.635648651E0,9.643995209E0,9.788741857E0
6.395032917E-1,-3.697311401E-1,1.608255615E0,9.658664703E0,9.798621898E0
6.494822917E-1,-3.535647583E-1,1.609902191E0,9.666298828E0,9.805821033E0
6.594612917E-1,-3.565585327E-1,1.600322113E0,9.699380035E0,9.836978089E0
6.694402917E-1,-3.854484558E-1,1.598226471E0,9.735305328E0,9.873148849E0
6.794192917E-1,-4.311035156E-1,1.592987366E0,9.770631866E0,9.909021448E0
6.893982918E-1,-4.605921936E-1,1.592687988E0,9.792785797E0,9.932142461E0
6.993772917E-1,-4.671784973E-1,1.565145264E0,9.797875214E0,9.933090866E0
7.093562917E-1,-4.903802490E-1,1.577419739E0,9.786648560E0,9.925080143E0
7.193352917E-1,-4.730163574E-1,1.608105927E0,9.792486420E0,9.934915169E0
7.293152917E-1,-4.731660461E-1,1.651815033E0,9.776918793E0,9.926757783E0
7.392942917E-1,-5.037025452E-1,1.667232971E0,9.713301086E0,9.868211592E0
7.492732917E-1,-4.992118835E-1,1.668580170E0,9.652976532E0,9.808839290E0
7.592522918E-1,-5.057981873E-1,1.699565735E0,9.587562561E0,9.750164683E0
7.692312917E-1,-5.237608337E-1,1.741029510E0,9.561217346E0,9.732542644E0
7.792102917E-1,-5.613327026E-1,1.775158539E0,9.478439484E0,9.659559891E0
7.891897084E-1,-5.629792786E-1,1.797312469E0,9.446855164E0,9.632774796E0
7.991687084E-1,-5.418731689E-1,1.864073639E0,9.376950531E0,9.575781865E0
8.091477084E-1,-5.237608337E-1,1.878144379E0,9.299711151E0,9.501914502E0
8.191267083E-1,-5.188211060E-1,1.809736633E0,9.276509399E0,9.465619296E0
8.291067084E-1,-4.752616882E-1,1.786235504E0,9.251212006E0,9.434057161E0
8.390857084E-1,-3.646417236E-1,1.781744843E0,9.360634460E0,9.535672801E0
8.490647083E-1,-3.592529297E-1,1.732946320E0,9.430988159E0,9.595608541E0
8.590437084E-1,-3.382965088E-1,1.703158264E0,9.487420807E0,9.645016649E0
8.690227084E-1,-3.071612549E-1,1.670526123E0,9.553134155E0,9.702957165E0
8.790017084E-1,-2.784210205E-1,1.641785889E0,9.534123688E0,9.678455128E0
8.889807083E-1,-2.553689575E-1,1.639690247E0,9.502689056E0,9.646496603E0
8.989597084E-1,-2.679428101E-1,1.654509430E0,9.516161041E0,9.662635032E0
9.089387084E-1,-2.953358459E-1,1.647923126E0,9.517957306E0,9.664077047E0
9.189177083E-1,-2.996768188E-1,1.656156006E0,9.525741119E0,9.673282937E0
9.288967084E-1,-3.501219177E-1,1.648671570E0,9.537566528E0,9.685343493E0
9.388767084E-1,-3.782633972E-1,1.636995850E0,9.569899292E0,9.716265284E0
9.488557084E-1,-3.959266663E-1,1.678160248E0,9.632020111E0,9.785131126E0
9.588347083E-1,-4.340972900E-1,1.681453400E0,9.680369568E0,9.834901167E0
9.688137084E-1,-4.417314148E-1,1.691482544E0,9.674980774E0,9.831657684E0
9.787927084E-1,-4.219725037E-1,1.724414063E0,9.688153381E0,9.849466005E0
9.887717083E-1,-4.239184570E-1,1.758692780E0,9.635612640E0,9.803965428E0
9.987507084E-1,-4.387376404E-1,1.761087799E0,9.565708008E0,9.736359209E0
1.008729708E0,-4.710704041E-1,1.745969238E0,9.530082092E0,9.700143328E0
1.018708708E0,-4.851411438E-1,1.783391418E0,9.512867889E0,9.690743127E0
1.028687708E0,-4.854405212E-1,1.810485077E0,9.523795166E0,9.706502103E0
1.038667708E0,-5.248086548E-1,1.845961304E0,9.542805634E0,9.733865451E0
1.048646708E0,-5.406756592E-1,1.831890564E0,9.564061432E0,9.752918757E0
1.058625708E0,-5.349874878E-1,1.845811615E0,9.555828552E0,9.747158122E0
1.068604708E0,-5.105882263E-1,1.846859436E0,9.527986450E0,9.718750738E0
1.078583708E0,-4.716691589E-1,1.867366791E0,9.483977966E0,9.677570387E0
1.088562708E0,-4.700225830E-1,1.864073639E0,9.454189911E0,9.647662858E0
1.098541708E0,-4.496649170E-1,1.863624573E0,9.444609833E0,9.637216921E0
1.108520708E0,-4.634362793E-1,1.850601654E0,9.463171234E0,9.653554240E0
1.118499708E0,-4.661306763E-1,1.814077606E0,9.490863647E0,9.673915864E0
1.128478708E0,-4.743635559E-1,1.803000641E0,9.526788940E0,9.707499143E0
1.138458708E0,-4.968168640E-1,1.769470367E0,9.581575012E0,9.756250924E0
1.148437708E0,-4.688250732E-1,1.746567993E0,9.609716492E0,9.778391880E0
1.158416708E0,-4.534071350E-1,1.739981689E0,9.663155365E0,9.829022633E0
1.168395708E0,-4.921765137E-1,1.722617798E0,9.700577545E0,9.864626425E0
1.178374708E0,-4.818479919E-1,1.697021027E0,9.708061981E0,9.867042378E0
1.188353708E0,-4.168830872E-1,1.718576202E0,9.729916534E0,9.889316025E0
1.198332708E0,-3.722758484E-1,1.725012817E0,9.719887390E0,9.878788863E0
1.208311708E0,-3.218307495E-1,1.717079315E0,9.661508789E0,9.818181526E0
1.218290708E0,-3.022215271E-1,1.705553284E0,9.610914001E0,9.765752290E0
1.228269708E0,-2.972817993E-1,1.709894257E0,9.578880615E0,9.734837887E0
1.238248708E0,-3.436853027E-1,1.727258148E0,9.562564545E0,9.723383206E0
1.248228708E0,-3.844006348E-1,1.738035736E0,9.563312988E0,9.727563281E0
1.258207708E0,-4.385879517E-1,1.740879822E0,9.565708008E0,9.732717587E0
1.268186708E0,-4.962181091E-1,1.749262390E0,9.588311005E0,9.759193575E0
1.278165708E0,-4.915777588E-1,1.773661652E0,9.585017853E0,9.760127642E0
1.288144708E0,-4.537065125E-1,1.813778229E0,9.579329681E0,9.760081875E0
1.298123708E0,-4.439767456E-1,1.820514221E0,9.538614349E0,9.720933653E0
1.308102708E0,-4.661306763E-1,1.804647217E0,9.494456177E0,9.675677107E0
1.318081708E0,-4.381388855E-1,1.854194183E0,9.479337616E0,9.668911179E0
1.328060708E0,-4.375401306E-1,1.891466675E0,9.473200378E0,9.670088570E0
1.338039708E0,-4.671784973E-1,1.881287842E0,9.468260651E0,9.664649991E0
1.348019708E0,-5.105882263E-1,1.875449982E0,9.472152557E0,9.669523620E0
1.357998708E0,-5.171745300E-1,1.867965546E0,9.467063141E0,9.663438792E0
1.367977708E0,-5.312452698E-1,1.882485352E0,9.506880341E0,9.706015992E0
1.377956708E0,-5.291496277E-1,1.866169281E0,9.523795166E0,9.719324127E0
1.387935708E0,-5.291496277E-1,1.862876129E0,9.528734894E0,9.723533076E0
1.397914708E0,-5.355862427E-1,1.851649475E0,9.527986450E0,9.721007365E0
1.407893708E0,-5.105882263E-1,1.867217102E0,9.514664154E0,9.709584646E0
1.417872708E0,-4.996609497E-1,1.864373016E0,9.505832520E0,9.699814416E0
1.427851708E0,-5.123844910E-1,1.866468658E0,9.485325165E0,9.680786983E0
1.437830708E0,-5.432203674E-1,1.799707489E0,9.491312714E0,9.675693900E0
1.447809708E0,-5.273533630E-1,1.800904999E0,9.517807617E0,9.701032018E0
1.457789708E0,-4.870870972E-1,1.806593170E0,9.549092560E0,9.730683503E0
1.467768708E0,-4.659809875E-1,1.803150330E0,9.569599915E0,9.749140060E0
1.477747708E0,-4.370910645E-1,1.826801147E0,9.565408630E0,9.748091777E0
1.487726708E0,-4.233197021E-1,1.847607880E0,9.566306763E0,9.752285862E0
1.497705708E0,-4.049079895E-1,1.850451965E0,9.560917969E0,9.746757172E0
1.507684708E0,-4.189787292E-1,1.869612122E0,9.570048981E0,9.759960561E0
1.517663708E0,-4.111949158E-1,1.845661926E0,9.578880615E0,9.763734073E0
1.527642708E0,-4.158352661E-1,1.809886322E0,9.612859955E0,9.790591605E0
1.537621708E0,-4.444258118E-1,1.783092041E0,9.651180267E0,9.824571852E0
1.547600708E0,-4.543052673E-1,1.768572235E0,9.680369568E0,9.851080956E0
1.557580708E0,-4.228706360E-1,1.760339355E0,9.687105560E0,9.854827668E0
1.567559708E0,-3.812571716E-1,1.769919434E0,9.653275909E0,9.821593945E0
1.577538708E0,-3.582051086E-1,1.778152313E0,9.595945129E0,9.765874230E0
1.587517708E0,-3.532653809E-1,1.775757294E0,9.534722443E0,9.705103938E0
1.597496708E0,-3.679348755E-1,1.755549316E0,9.498647461E0,9.666521249E0
1.607475708E0,-3.927832031E-1,1.757345581E0,9.487420807E0,9.656795312E0
1.617454708E0,-3.812571716E-1,1.773212585E0,9.504335632E0,9.675848062E0
1.627433708E0,-3.821553040E-1,1.782343597E0,9.498348083E0,9.671680707E0
1.637412708E0,-3.884422302E-1,1.809736633E0,9.495054932E0,9.673784275E0
1.647391708E0,-4.101470947E-1,1.809437256E0,9.464817810E0,9.644949974E0
1.657370708E0,-4.267625427E-1,1.799108734E0,9.403445435E0,9.583512120E0
1.667350708E0,-4.261637878E-1,1.847308502E0,9.368418274E0,9.558317071E0
1.677329708E0,-4.682263184E-1,1.861977997E0,9.375902710E0,9.570462349E0
1.687308708E0,-5.001100159E-1,1.855242004E0,9.394015045E0,9.588511438E0
1.697287708E0,-5.207670593E-1,1.859283600E0,9.468410339E0,9.663277301E0
1.707266708E0,-4.983137512E-1,1.859283600E0,9.566306763E0,9.758046791E0
1.717245708E0,-5.011578369E-1,1.877096558E0,9.651329956E0,9.844938831E0
1.727224708E0,-5.146298218E-1,1.868863678E0,9.685009918E0,9.877090281E0
1.737203708E0,-5.340893555E-1,1.845063171E0,9.685608673E0,9.874235409E0
1.747182708E0,-5.102888489E-1,1.847458191E0,9.680369568E0,9.868285132E0
1.757161708E0,-4.763095093E-1,1.855242004E0,9.695488129E0,9.882878310E0
1.767141708E0,-4.644841003E-1,1.867366791E0,9.705966339E0,9.894876795E0
1.777120708E0,-4.914280701E-1,1.872306519E0,9.687255249E0,9.878762448E0
1.787099292E0,-4.998106384E-1,1.874851227E0,9.664352875E0,9.857210269E0
1.797078292E0,-5.022056580E-1,1.879790955E0,9.621841278E0,9.816600946E0
1.807057292E0,-4.882846069E-1,1.895358582E0,9.542955322E0,9.741601629E0
1.817036292E0,-4.819976807E-1,1.883533173E0,9.500743103E0,9.697635716E0
1.827015292E0,-4.866380310E-1,1.880689087E0,9.491612091E0,9.688369734E0
1.836994292E0,-4.567002869E-1,1.888472900E0,9.487869873E0,9.684760182E0
1.846973292E0,-4.390370178E-1,1.868414612E0,9.523944855E0,9.715413129E0
1.856952292E0,-4.011657715E-1,1.863624573E0,9.535919952E0,9.724597671E0
1.866931292E0,-3.700305176E-1,1.869312744E0,9.557924194E0,9.746033430E0
1.876911292E0,-3.520678711E-1,1.831291809E0,9.577383728E0,9.757246566E0
1.886890292E0,-3.620970154E-1,1.805545349E0,9.567504272E0,9.743112760E0
1.896869292E0,-3.399430847E-1,1.796564026E0,9.560468903E0,9.733743845E0
1.906848292E0,-3.007246399E-1,1.800755310E0,9.536518707E0,9.709703603E0
1.916827292E0,-2.761756897E-1,1.796264648E0,9.510622559E0,9.682705260E0
1.926806292E0,-2.758763123E-1,1.797611847E0,9.487271118E0,9.660011872E0
1.936785292E0,-2.727328491E-1,1.811981964E0,9.466913452E0,9.642619569E0
1.946764292E0,-2.977308655E-1,1.796114960E0,9.440418549E0,9.614373354E0
1.956743292E0,-3.448828125E-1,1.755549316E0,9.423054657E0,9.591394926E0
1.966722292E0,-3.513194275E-1,1.751507721E0,9.443711700E0,9.611185948E0
1.976702292E0,-3.278182983E-1,1.778900757E0,9.524244232E0,9.694492299E0
1.986681292E0,-3.237767029E-1,1.809736633E0,9.569749603E0,9.744746559E0
1.996660292E0,-3.397933960E-1,1.795665894E0,9.577533417E0,9.750334451E0
2.006639292E0,-3.625460815E-1,1.785187683E0,9.563911743E0,9.735848322E0
2.016618292E0,-3.522175598E-1,1.794019318E0,9.583520966E0,9.756353654E0
2.026597292E0,-3.812571716E-1,1.779798889E0,9.599986725E0,9.771017666E0
2.036576292E0,-4.137396240E-1,1.783990173E0,9.608069916E0,9.781043345E0
2.046555292E0,-4.391867065E-1,1.801054688E0,9.671987000E0,9.848046277E0
2.056534292E0,-4.454736328E-1,1.827100525E0,9.713600464E0,9.893976807E0
2.066513292E0,-4.400848389E-1,1.837578735E0,9.712552643E0,9.894647498E0
2.076492292E0,-4.537065125E-1,1.839375000E0,9.694440308E0,9.877819743E0
2.086472292E0,-4.466711426E-1,1.844763794E0,9.661059723E0,9.845747485E0
2.096451292E0,-3.953279114E-1,1.870210876E0,9.669591980E0,9.856722677E0
2.106430292E0,-3.864962769E-1,1.898052979E0,9.684261475E0,9.876077399E0
2.116409292E0,-4.064048767E-1,1.902244263E0,9.668544159E0,9.862273790E0
2.126388292E0,-4.445755005E-1,1.895807648E0,9.652228088E0,9.846686807E0
2.136367292E0,-4.567002869E-1,1.873953094E0,9.640552368E0,9.831608481E0
2.146346292E0,-4.715194702E-1,1.882335663E0,9.630523224E0,9.824077347E0
2.156325292E0,-4.794529724E-1,1.870809631E0,9.586814117E0,9.779407382E0
2.166304292E0,-4.728666687E-1,1.859283600E0,9.542955322E0,9.733885898E0
2.176283292E0,-4.366419983E-1,1.891017609E0,9.508377228E0,9.704423802E0
2.186262292E0,-4.197271729E-1,1.897603912E0,9.460027771E0,9.657597886E0
2.196242292E0,-4.089495850E-1,1.887275391E0,9.425150299E0,9.620941031E0
2.206221292E0,-3.980223083E-1,1.866019592E0,9.385333099E0,9.577313207E0
2.216200292E0,-3.842509460E-1,1.834584961E0,9.354048157E0,9.539998306E0
2.226179292E0,-3.631448364E-1,1.822160797E0,9.375453644E0,9.557786102E0
