"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
-1.963250048E-3,-3.342738375E-2,-3.356203809E-2,-5.018925294E-3,4.763391645E-2
8.061749977E-3,-5.767280236E-2,-8.213756979E-2,-2.414574847E-2,1.032266907E-1
1.808675000E-2,-7.214760780E-2,-1.079888567E-1,-1.682839915E-2,1.309582586E-1
2.811074996E-2,-6.318447739E-2,-1.174888834E-1,-1.143017039E-2,1.338901218E-1
3.813574999E-2,-3.669904917E-2,-9.493952990E-2,-1.594720781E-2,1.030274138E-1
4.816074995E-2,-3.094156459E-2,-7.496076077E-2,-1.659728400E-2,8.277660244E-2
5.818574998E-2,-4.707674310E-2,-7.165597379E-2,-1.703172550E-2,8.741211583E-2
6.821074995E-2,-5.972782150E-2,-9.118759632E-2,-2.240278758E-2,1.112855574E-1
7.823474996E-2,-5.134658143E-2,-1.121759638E-1,-2.363274433E-2,1.256122004E-1
8.825974999E-2,-3.377398103E-2,-1.048517376E-1,-1.443764754E-2,1.110991195E-1
9.828474995E-2,-2.530341037E-2,-9.366585314E-2,-9.933098219E-3,9.753061602E-2
1.083097500E-1,-2.963291109E-2,-8.914913237E-2,-1.455261745E-2,9.506553475E-2
1.183347499E-1,-3.730436787E-2,-7.357661426E-2,-1.473258901E-2,8.379846781E-2
1.283587500E-1,-3.383933008E-2,-6.091248989E-2,-1.371419616E-2,7.101767992E-2
1.383837500E-1,-2.731608227E-2,-5.196562037E-2,-1.254041307E-2,6.003212482E-2
1.484087500E-1,-2.307153679E-2,-4.877755046E-2,-1.437852532E-2,5.584162631E-2
1.584337500E-1,-2.004479058E-2,-6.169996783E-2,-2.095082402E-2,6.817343095E-2
1.684587499E-1,-2.207731456E-2,-5.747406185E-2,-1.616352424E-2,6.365481222E-2
1.784827500E-1,-2.557189763E-2,-3.481126204E-2,-5.654632114E-3,4.356283711E-2
1.885077500E-1,-2.019897103E-2,-2.114791423E-2,-7.197135128E-3,3.011696301E-2
1.985327500E-1,-1.959047653E-2,-1.562631503E-2,-1.414586511E-2,2.877627480E-2
